empresa,ano,retorno_anual,ceo,chairman,ibrx,industria
ECOR3,2015,-0.5,0,0,1,
ECOR3,2016,0.75,0,0,1,
ECOR3,2017,0.61,0,0,1,
ECOR3,2018,-0.18,0,0,1,
ECOR3,2019,0.74,0,0,1,
ENBR3,2009,0.59,0,0,1,
ENBR3,2010,0.24,0,0,1,
ENBR3,2011,0.16,0,0,1,
ENBR3,2012,-0.02,0,0,1,
ENBR3,2013,-0.05,0,0,1,
ENBR3,2014,-0.12,0,0,1,
ENBR3,2015,0.36,0,0,1,
ENBR3,2016,0.22,0,0,1,
ENBR3,2017,0.06,0,0,1,
ENBR3,2018,0.09,0,0,1,
ENBR3,2019,0.58,0,0,1,
ELPL4,2009,0.64,0,0,1,
ELPL4,2010,0.19,0,0,1,
ELPL4,2011,0.44,0,0,1,
ELPL4,2012,-0.46,0,0,1,
ELPL4,2013,-0.44,0,0,1,
ELPL4,2014,-0.03,0,0,1,
ELPL4,2015,-0.03,0,0,1,
ELPL4,2016,0.47,0,0,1,
EMBR3,2009,0.11,0,0,1,
EMBR3,2010,0.28,0,0,1,
EMBR3,2011,0.01,0,0,1,
EMBR3,2012,0.27,0,0,1,
EMBR3,2013,0.33,0,0,1,
EMBR3,2014,0.31,0,0,1,
EMBR3,2015,0.24,0,0,1,
EMBR3,2016,-0.45,0,0,1,
EMBR3,2017,0.3,0,0,1,
EMBR3,2018,0.09,0,0,1,
EMBR3,2019,-0.09,0,0,1,
ENAT3,2012,-0.2,0,1,1,
ENAT3,2013,-0.25,0,1,1,
ENAT3,2014,-0.25,0,1,1,
ENAT3,2015,-0.17,0,1,1,
ENAT3,2016,-0.05,0,1,1,
ENAT3,2018,0,0,1,1,
ENAT3,2019,0.95,0,1,1,
ENGI11,2017,0.52,0,0,1,
ENGI11,2018,0.4,0,0,1,
ENGI11,2019,0.48,0,0,1,
ENEV3,2010,0.17,0,0,1,
ENEV3,2011,0.93,0,0,1,
ENEV3,2012,-0.13,0,0,1,
ENEV3,2013,-0.72,0,0,1,
EQTL3,2013,0.25,0,0,1,
EQTL3,2014,0.22,0,0,1,
EQTL3,2015,0.27,0,0,1,
EQTL3,2016,0.6,0,0,1,
EQTL3,2017,0.22,0,0,1,
EQTL3,2018,0.16,0,0,1,
EQTL3,2019,0.55,0,0,1,
YDUQ3,2013,0.48,0,0,1,
YDUQ3,2014,0.18,0,0,1,
YDUQ3,2015,-0.4,0,0,1,
YDUQ3,2016,0.3,0,0,1,
YDUQ3,2017,1.16,0,0,1,
YDUQ3,2018,-0.23,0,0,1,
YDUQ3,2019,1.04,0,0,1,
EVEN3,2010,0.03,0,1,1,
EVEN3,2011,-0.26,0,1,1,
EVEN3,2012,0.59,0,1,1,
EVEN3,2013,-0.11,0,1,1,
EVEN3,2014,-0.3,0,1,1,
EVEN3,2015,-0.2,0,1,1,
EVEN3,2016,-0.07,0,0,1,
EZTC3,2012,0.68,1,1,1,
EZTC3,2013,0.16,1,1,1,
EZTC3,2014,-0.22,1,1,1,
EZTC3,2015,-0.34,1,1,1,
EZTC3,2016,0.39,1,1,1,
EZTC3,2017,0.65,1,1,1,
EZTC3,2018,0.19,1,1,1,
EZTC3,2019,1.53,1,1,1,
FHER3,2009,2.01,0,1,1,
FLRY3,2016,1.48,0,0,1,
FLRY3,2017,0.7,0,0,1,
FLRY3,2018,-0.31,0,0,1,
FLRY3,2019,0.62,0,0,1,
GFSA3,2009,1.72,0,0,1,
GFSA3,2010,-0.14,0,0,1,
GFSA3,2011,-0.64,0,0,1,
GFSA3,2012,0.13,0,0,1,
GFSA3,2013,-0.18,0,0,1,
GFSA3,2014,-0.36,0,0,1,
GFSA3,2015,0.1,0,0,1,
GFSA3,2016,-0.24,0,0,1,
GFSA3,2017,0.28,0,0,1,
GFSA3,2018,-0.17,0,0,1,
GFSA3,2019,-0.46,0,0,1,
GGBR4,2009,0.96,0,0,1,
GGBR4,2010,-0.21,0,0,1,
GGBR4,2011,-0.34,0,0,1,
GGBR4,2012,0.28,0,0,1,
GGBR4,2013,0.04,0,0,1,
GGBR4,2014,-0.47,0,0,1,
GGBR4,2015,-0.5,0,0,1,
GGBR4,2016,1.34,0,0,1,
GGBR4,2017,0.15,0,0,1,
GGBR4,2018,0.23,0,0,1,
GGBR4,2019,0.38,0,0,1,
VVAR11,2014,-0.17,0,0,1,
VVAR11,2015,-0.84,0,0,1,
VVAR11,2016,2.26,0,0,1,
