"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"BBDC4",2011,-0.02,0,0,1,0
"BBDC4",2012,0.19,0,0,1,0
"BBDC4",2013,-0.06,0,0,1,0
"BBDC4",2014,0.25,0,0,1,0
"BBDC4",2015,-0.3,0,0,1,0
"BBDC4",2016,0.7,0,0,1,0
"BBDC4",2017,0.36,0,0,1,0
"BBDC4",2018,0.3,0,0,1,0
"BBDC4",2019,0.19,0,0,1,0
"BPAC11",2009,NA,0,0,0,0
"BPAC11",2010,NA,0,0,0,0
"BPAC11",2011,NA,1,1,0,1
"BPAC11",2012,NA,1,1,0,1
"BPAC11",2013,NA,1,1,0,1
"BPAC11",2014,NA,1,1,0,1
"BPAC11",2015,NA,1,1,0,1
"BPAC11",2016,NA,0,1,0,1
"BPAC11",2017,0.04,0,0,1,0
"BPAC11",2018,NA,0,0,0,0
"BPAC11",2019,2.36,0,0,1,0
"BBAS3",2009,1.17,0,0,1,0
"BBAS3",2010,0.13,0,0,1,0
"BBAS3",2011,-0.18,0,0,1,0
"BBAS3",2012,0.17,0,0,1,0
"BBAS3",2013,0.05,0,0,1,0
"BBAS3",2014,0.04,0,0,1,0
"BBAS3",2015,-0.31,0,0,1,0
"BBAS3",2016,0.99,0,0,1,0
"BBAS3",2017,0.18,0,0,1,0
"BBAS3",2018,0.52,0,0,1,0
"BBAS3",2019,0.2,0,0,1,0
"BRSR6",2009,1.81,0,0,1,0
"BRSR6",2010,0.26,0,0,1,0
"BRSR6",2011,0.2,0,0,1,0
"BRSR6",2012,-0.16,0,0,1,0
"BRSR6",2013,-0.15,0,0,1,0
"BRSR6",2014,0.23,0,0,1,0
"BRSR6",2015,-0.55,0,0,1,0
"BRSR6",2016,0.95,0,0,1,0
"BRSR6",2017,0.5,0,0,1,0
"BRSR6",2018,0.68,0,0,1,0
"BRSR6",2019,0.03,0,0,1,0
"BICB4",2009,3.71,1,1,1,1
"BICB4",2010,NA,1,1,0,1
"BICB4",2011,NA,1,1,0,1
"BICB4",2012,NA,1,1,0,1
"BICB4",2013,NA,1,1,0,1
"BICB4",2014,NA,0,0,0,0
"BICB4",2015,NA,0,0,0,0
